,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
0,ปฏิบัติการลับบุกโรงเรียนไฮโซ,AJ,액션,22258,672894,89029,9.88,4,2023-08-21,2023-09-18,한국,잠입! 재벌고,글/그림 AJ,41,9.76,192515,액션,"액션,재벌,학원로맨스",2023-02-26,2023-02-26,False,웹툰,1,False,True,28,0.0
1,ห้องนอนลับของเจ้าหญิงต้องสาป,Henie / HYERIM SUNG,로맨스판타지,568221,18900000,313278,9.73,54,2022-09-12,2023-09-18,한국,버림받은 왕녀의 은밀한 침실,글/그림 혜니 원작 성혜림,68,9.94,290951,로맨스,"로맨스,고자극로맨스,궁중로맨스,까칠남,소설원작,성인웹툰",2022-07-03,2023-09-10,False,웹툰,6,False,True,371,434.0
2,ช่วยเปลี่ยนฉันที,ลีจีโฮ / โฮตี,드라마,1700000,46900000,358044,9.62,193,2020-01-13,2023-09-18,한국,나를 바꿔줘,글 이지호 그림 호띠,215,9.69,259728,드라마,드라마,2019-09-06,2023-09-08,False,웹툰,1,False,True,1344,1463.0
3,นักล่าเงิน,EUN RYU / DO NEUK,액션,1929,96493,17986,9.8,1,2023-09-04,2023-09-18,한국,돈내놔,글 은류 그림 도늑,16,8.2,26261,액션,"액션,서바이벌,사이다,게임판타지,두뇌싸움,먼치킨,머니게임",2023-06-28,2023-09-06,False,웹툰,1,False,True,14,70.0
4,ถูกใจนายติดอ่างที่รัก,แผ่นทองสีดำ,LGBTQ+ / Y,1400000,30800000,360472,9.84,95,2021-01-25,2023-09-10,태국,,,0,,0,,,,,,,0,False,False,958,
5,ชีวิตมหา’ลัยที่ฝันไว้..มันต้องไม่ใช่แบบนี้สิ!,Kai2536,로맨스,1800000,51200000,506643,9.78,152,2019-10-28,2023-09-17,태국,,,0,,0,,,,,,,0,False,False,1420,
6,ใครลักจักรพรรดินี,Muhly / Pinku,로맨스판타지,84519,2400000,112351,9.81,17,2023-05-22,2023-09-18,중국,,,0,,0,,,,,,,0,False,True,119,
7,ฆ่าเขาที สามีของฉัน,Lee Yone / GUMUL,로맨스판타지,182448,6100000,128349,9.69,43,2022-11-28,2023-09-18,한국,남편을 죽여줘요,글 이연 칸트웍스 그림 구물,69,9.93,223285,로맨스,"로맨스,고자극로맨스,서스펜스,로판,감성드라마,성인웹툰",2022-07-13,2023-09-06,False,웹툰,3,False,True,294,420.0
8,ผมไม่ได้เก่งอย่างที่คิด,Meona / Emong,판타지,161600,3700000,147610,9.92,29,2023-03-06,2023-09-18,중국,,,0,,0,,,,,,,0,False,True,196,
9,เจ้าหญิงผมดำกับเจ้าชายผมแดง,Ellianyang / Pang-e,로맨스판타지,1100000,24200000,352683,9.83,106,2020-06-29,2023-09-11,한국,검은머리 황녀님,글 엘리아냥 그림 팡이,107,9.8,91,순정,순정,2020-01-17,2023-06-02,False,시리즈,2,False,True,1169,1232.0
